0.0096314,0.017226,-0.0075944,0.0069771,12361,0.65858,0,0,0,0.031581,0,0,0,0,0,0.009941,0,0,0,0,10643,1975.8,7133.8,5227.6,0,0,-0.015197,2.5487,2.6229
0.58863,-0.013194,0.60183,-0.0053439,76966,22.275,0.01,0,0,370.42,0.081734,0,0,-0.0081525,-0.89864,-0.0076139,-0.031159,-0.022833,1.9552e-07,1.2736e-07,10643,66580,44417,32549,-0,-0,-0.015197,2.5487,2.6229
0.0096493,0.01723,-0.0075809,0.006977,10611,0.66565,0.02,0,0,0.0324,0.59063,0,0,-4.2842e-05,-5.8497e-06,0.0099322,2.1243,1.5567,-1.333e-05,-8.6831e-06,10643,225.04,6123.4,4487.3,0,0,-0.015602,2.548,2.6229
0.0096636,0.01723,-0.0075664,0.0069765,10553,0.71654,0.03,0,0,0.038302,0.66079,0,0,9.1339e-05,-3.1328e-05,0.0099292,2.6588,1.9484,-1.6684e-05,-1.0868e-05,10643,167.24,6090.1,4462.8,0,0,-0.01853,2.5429,2.6229
0.0097259,0.01723,-0.0075038,0.0069758,10515,0.77354,0.04,0,0,0.044913,0.73057,0,0,-0.0001483,-9.2963e-05,0.0099259,3.2496,2.3813,-2.0391e-05,-1.3283e-05,10643,128.93,6068,4446.6,0,0,-0.021807,2.5371,2.6229
0.0097077,0.017229,-0.0075216,0.0069751,10495,0.8365,0.05,0,0,0.052214,0.80009,0,0,0.00028035,-9.6177e-05,0.0099222,3.8971,2.8558,-2.4454e-05,-1.5929e-05,10643,109.23,6056.6,4438.3,0,0,-0.025429,2.5308,2.6229
0.0098249,0.017229,-0.007404,0.0069743,10494,0.90551,0.06,0,0,0.060218,0.86948,0,0,-0.00038208,-0.00019951,0.0099182,4.6019,3.3723,-2.8877e-05,-1.881e-05,10643,108.09,6055.9,4437.8,0,0,-0.029395,2.5239,2.6229
0.0098814,0.017229,-0.0073471,0.0069735,10478,0.9696,0.07,0,0,0.068913,0.93887,0,0,-0.00051721,-0.00026017,0.0099139,5.365,3.9315,-3.3665e-05,-2.1929e-05,10643,92.215,6046.8,4431.1,0,0,-0.033706,2.5163,2.6229
0.0098725,0.017228,-0.0073555,0.0069726,10456,1.0315,0.08,0,0,0.078298,1.0081,0,0,0.00063274,-0.00032546,0.0099092,6.1852,4.5326,-3.8812e-05,-2.5282e-05,10643,70.096,6034,4421.7,0,0,-0.038361,2.5082,2.6229
0.010007,0.017228,-0.0072204,0.0069716,10448,1.098,0.09,0,0,0.088381,1.0773,0,0,-0.00081292,-0.00039562,0.0099042,7.0616,5.1748,-4.4311e-05,-2.8864e-05,10643,62.215,6029.5,4418.4,0,0,-0.043359,2.4994,2.6229
0.010079,0.017227,-0.0071483,0.0069705,10444,1.1657,0.1,0,0,0.099155,1.1464,0,0,-0.0010127,-0.00047056,0.0098989,7.9951,5.8589,-5.0169e-05,-3.268e-05,10643,58.05,6027.1,4416.7,0,0,-0.0487,2.49,2.6229
0.010151,0.017226,-0.0070755,0.0069694,10427,1.2292,0.11,0,0,0.11061,1.2154,0,0,-0.0011519,-0.00055036,0.0098933,8.9859,6.5849,-5.6386e-05,-3.673e-05,10643,41.428,6017.5,4409.6,0,0,-0.054383,2.4801,2.6229
0.01023,0.017226,-0.0069962,0.0069682,10422,1.2966,0.12,0,0,0.12277,1.2844,0,0,-0.0013425,-0.00063488,0.0098873,10.033,7.3519,-6.2954e-05,-4.1008e-05,10643,36.766,6014.8,4407.6,0,0,-0.060409,2.4695,2.6229
0.010328,0.017225,-0.0068973,0.006967,10416,1.3633,0.13,0,0,0.13563,1.3533,0,0,-0.0018188,-0.00072449,0.009881,11.136,8.1605,-6.9878e-05,-4.5518e-05,10643,29.975,6010.8,4404.8,0,0,-0.066777,2.4584,2.6229
0.010399,0.017224,-0.006825,0.0069656,10406,1.429,0.14,0,0,0.14914,1.4221,0,0,-0.0017358,-0.00081835,0.0098744,12.296,9.0105,-7.7157e-05,-5.0259e-05,10643,20.664,6005.5,4400.8,0,0,-0.073486,2.4466,2.6229
0.01049,0.017224,-0.0067332,0.0069643,10406,1.4977,0.15,0,0,0.1634,1.4909,0,0,-0.0019311,-0.00091771,0.0098674,13.512,9.9016,-8.4787e-05,-5.5229e-05,10643,20.352,6005.3,4400.7,0,0,-0.080537,2.4343,2.6229
0.010584,0.017223,-0.0066387,0.0069628,10395,1.563,0.16,0,0,0.17827,1.5598,0,0,-0.0021177,-0.0010211,0.0098602,14.785,10.834,-9.2773e-05,-6.0432e-05,10643,9.7351,5999.2,4396.2,0,0,-0.087928,2.4213,2.6229
0.010664,0.017222,-0.0065575,0.0069613,10395,1.6316,0.17,0,0,0.1939,1.6285,0,0,-0.0019766,-0.0011297,0.0098526,16.113,11.808,-0.00010111,-6.5861e-05,10643,9.3186,5998.9,4396,0,0,-0.095661,2.4078,2.6229
0.010757,0.017221,-0.0064638,0.0069597,10387,1.6977,0.18,0,0,0.2102,1.6972,0,0,-0.0019966,-0.001243,0.0098446,17.498,12.822,-0.0001098,-7.1521e-05,10643,1.5189,5994.4,4392.7,0,0,-0.10374,2.3936,2.6229
